Fecha,Mes,Dia_Semana,Hora_Inicio,Hora_Fin,Tiempo_Ejecucion,Tiempo_min,Tipo_Pipeline,Sistema_Origen,Prioridad,Duplicados,Nivel_Duplicados,Registros_Duplicados_est,Registros_Procesados,Throughput,Registros_Rechazados,Reglas_Calidad,Nulos,Reintentos,CPU,RAM,Disco,Latencia,Region,Latitud,Longitud,Pipeline_ID,Severidad,Estado
2025-06-26,6,Thursday,18:00,20:00,179.4,2.99,Streaming,IoT,Alta,4,Alto,19539,488474,710,5861,6,8,1,66,76,66,107,Centro,-33.53904,-70.74767,P1006,Baja,OK
2025-03-15,3,Saturday,19:00,21:00,147.91,2.47,Batch,POS,Baja,2,Medio,1954,97703,745,879,4,7,2,61,33,55,140,Sur,-39.77792,-73.1756,P1006,Baja,OK
2025-06-21,6,Saturday,21:00,21:00,117.06,1.95,Streaming,POS,Alta,2,Medio,4212,210614,756,1053,4,3,2,40,61,41,68,Centro,-33.27927,-70.73033,P1006,Baja,OK
2025-03-16,3,Sunday,20:00,20:00,104.03,1.73,Streaming,Web,Baja,2,Medio,6691,334570,1129,3345,2,8,0,37,68,35,112,Norte,-23.5291,-70.32467,P1006,Baja,OK
2025-02-07,2,Friday,08:00,10:00,140.43,2.34,Streaming,Web,Baja,3,Medio,5363,178782,783,1609,4,6,2,36,66,44,147,Sur,-39.70402,-73.10784,P1006,Baja,OK
2025-03-10,3,Monday,01:00,02:00,102.85,1.71,Streaming,Web,Alta,3,Medio,4472,149052,468,1043,3,4,1,60,50,60,20,Centro,-33.60023,-70.70938,P1006,Baja,OK
2025-05-21,5,Wednesday,17:00,18:00,85.89,1.43,Batch,ERP,Baja,2,Medio,2899,144951,543,434,0,1,0,49,45,47,50,Centro,-33.41189,-70.66945,P1006,Baja,OK
2025-03-01,3,Saturday,07:00,09:00,138.37,2.31,Streaming,POS,Alta,2,Medio,1103,55167,461,165,1,1,2,38,27,44,165,Norte,-23.4797,-70.32531,P1006,Baja,OK
2025-05-19,5,Monday,19:00,19:00,95.78,1.6,Batch,CRM,Baja,4,Alto,2481,62034,555,744,4,8,1,47,78,49,80,Sur,-39.71931,-73.06886,P1006,Baja,OK
2025-02-26,2,Wednesday,08:00,08:00,110.21,1.84,Batch,IoT,Baja,3,Medio,3005,100165,527,600,2,3,0,42,76,39,144,Norte,-23.6215,-70.35435,P1006,Baja,OK
2025-04-09,4,Wednesday,19:00,20:00,130.11,2.17,Streaming,IoT,Baja,0,Bajo,0,161876,856,485,1,3,0,80,63,75,118,Norte,-23.58154,-70.42592,P1006,Baja,OK
2025-02-06,2,Thursday,22:00,22:00,146.31,2.44,Streaming,IoT,Alta,0,Bajo,0,229457,936,1147,3,5,1,68,56,58,131,Sur,-39.71398,-73.35795,P1006,Baja,OK
2025-01-07,1,Tuesday,21:00,23:00,102.62,1.71,Streaming,CRM,Baja,2,Medio,4704,235212,721,1881,5,6,0,50,38,52,75,Sur,-39.74669,-73.37265,P1006,Baja,OK
2025-01-23,1,Thursday,13:00,14:00,131.85,2.2,Streaming,IoT,Media,3,Medio,6929,230975,985,1847,5,5,0,76,26,72,119,Sur,-39.74097,-73.2591,P1006,Baja,OK
